                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1344,                 2.9505,                 1.5432,                  0.005,                      1,                0.57094,                0.47652,                0.87063,                 3.3441,                 1.3687,             0.00011669,             0.00011669,             0.00011669
                      2,                0.99144,                 2.2588,                 1.4346,                0.98253,                0.45455,                 0.7884,                0.60069,                0.93948,                 2.9097,                 1.4605,             0.00024757,             0.00024757,             0.00024757
                      3,                0.99072,                 1.7009,                 1.4125,                0.92266,                0.33333,                0.90979,                0.68682,                0.98902,                 2.6471,                 1.4797,             0.00037582,             0.00037582,             0.00037582
                      4,                 1.0028,                 1.5313,                 1.3759,                0.96839,                0.52569,                0.78126,                 0.5516,                 1.2048,                 2.7276,                 1.6891,             0.00050142,             0.00050142,             0.00050142
                      5,                0.97495,                 1.4357,                 1.3667,                0.61267,                0.61818,                  0.622,                0.46021,                 1.6278,                  2.757,                 2.4109,             0.00062438,             0.00062438,             0.00062438
                      6,                 1.0027,                 1.4087,                 1.3937,                0.68528,                0.84657,                0.75938,                0.56182,                  1.121,                 2.2942,                  1.545,             0.00074471,             0.00074471,             0.00074471
                      7,                0.96162,                 1.3698,                 1.3359,                0.78324,                0.82539,                0.81141,                0.57086,                 1.2527,                 1.9696,                 1.8123,             0.00086239,             0.00086239,             0.00086239
                      8,                0.94005,                 1.3321,                  1.304,                0.90585,                0.70455,                0.82656,                 0.5891,                 1.0812,                 1.8836,                 1.5107,             0.00097743,             0.00097743,             0.00097743
                      9,                0.92231,                 1.2098,                 1.2993,                0.88302,                0.59343,                0.71867,                0.51659,                 1.1523,                 2.2303,                 1.5692,              0.0010898,              0.0010898,              0.0010898
                     10,                0.91281,                  1.209,                 1.2638,                0.74169,                0.64899,                0.71915,                0.51922,                 1.2415,                 1.9601,                 1.7364,              0.0011996,              0.0011996,              0.0011996
                     11,                0.94684,                 1.1755,                 1.2505,                 0.6808,                0.77457,                0.73011,                0.53675,                 1.0904,                 1.8987,                 1.4667,              0.0013067,              0.0013067,              0.0013067
                     12,                0.91106,                 1.1474,                 1.2654,                0.84176,                0.78788,                0.80668,                0.59326,                  1.082,                 2.1777,                 1.5612,              0.0014112,              0.0014112,              0.0014112
                     13,                0.90858,                 1.0957,                 1.2536,                0.75059,                0.67677,                0.68735,                0.54137,                 1.0296,                 1.9899,                 1.5086,               0.001469,               0.001469,               0.001469
                     14,                0.95392,                 1.1287,                  1.261,                0.79995,                0.70455,                0.74773,                0.52347,                 1.2925,                 2.2195,                 1.6949,              0.0014525,              0.0014525,              0.0014525
                     15,                0.88727,                 1.0895,                 1.2545,                0.77625,                 0.7601,                0.80927,                 0.5864,                 1.0436,                 1.7516,                 1.4489,               0.001436,               0.001436,               0.001436
                     16,                0.90829,                 1.0361,                 1.2593,                0.69892,                0.76135,                0.67066,                0.50193,                 1.3541,                 2.4712,                 1.7987,              0.0014195,              0.0014195,              0.0014195
                     17,                0.93206,                 1.1045,                 1.2541,                0.75639,                0.81329,                0.83848,                0.61522,                 1.1565,                  2.272,                 1.5959,              0.0014029,              0.0014029,              0.0014029
                     18,                0.89033,                  1.034,                 1.2568,                0.57518,                0.82576,                0.73924,                0.53975,                 1.2428,                 2.5772,                 1.6488,              0.0013864,              0.0013864,              0.0013864
                     19,                 0.8811,                0.97595,                 1.2647,                0.67451,                0.78788,                0.63951,                0.46853,                 1.2497,                 2.0246,                 1.5744,              0.0013699,              0.0013699,              0.0013699
                     20,                 0.8725,                0.94149,                  1.199,                0.64404,                0.73232,                0.61821,                0.48372,                 1.2674,                 1.9575,                 1.7539,              0.0013534,              0.0013534,              0.0013534
                     21,                 0.8988,                0.98452,                 1.2579,                0.73313,                0.73232,                0.75581,                0.55762,                 1.2792,                 1.5271,                 1.6682,              0.0013369,              0.0013369,              0.0013369
                     22,                0.87253,                0.96846,                  1.235,                0.65577,                0.70455,                0.62281,                0.47353,                  1.359,                 1.7416,                 1.6724,              0.0013204,              0.0013204,              0.0013204
                     23,                0.88024,                 0.9712,                 1.2396,                0.72128,                0.72701,                0.75718,                0.49536,                 1.4438,                 1.6651,                 1.8883,              0.0013039,              0.0013039,              0.0013039
                     24,                0.85265,                0.87181,                  1.216,                0.80339,                0.79151,                0.77512,                 0.5296,                 1.3248,                 1.5475,                 1.7164,              0.0012874,              0.0012874,              0.0012874
                     25,                0.84877,                0.85148,                 1.2048,                0.77733,                0.84343,                0.83266,                0.55505,                 1.2749,                 1.4847,                 1.6011,              0.0012709,              0.0012709,              0.0012709
                     26,                0.81096,                0.82332,                 1.1992,                0.77983,                0.80472,                0.74831,                0.54738,                 1.1138,                 1.4692,                 1.5763,              0.0012544,              0.0012544,              0.0012544
                     27,                0.85172,                0.84581,                 1.1964,                0.77202,                0.81566,                0.76199,                0.56734,                 1.1566,                 1.3345,                 1.6564,              0.0012379,              0.0012379,              0.0012379
                     28,                0.83062,                0.86226,                  1.239,                0.88619,                0.86177,                0.92545,                0.68278,                 1.0776,                 1.3722,                 1.5536,              0.0012214,              0.0012214,              0.0012214
                     29,                0.78113,                 0.8265,                 1.1467,                0.85091,                0.83293,                0.90595,                0.66603,                 1.0067,                 1.1986,                 1.4244,              0.0012049,              0.0012049,              0.0012049
                     30,                0.80226,                0.78935,                 1.1903,                0.90385,                0.81566,                0.89489,                0.65718,                0.99589,                 1.1047,                 1.4006,              0.0011884,              0.0011884,              0.0011884
                     31,                0.74803,                0.76212,                 1.1601,                0.92899,                0.84343,                 0.9087,                0.63618,                 1.0949,                 1.1055,                 1.4679,              0.0011719,              0.0011719,              0.0011719
                     32,                0.74029,                0.72079,                 1.1442,                0.89648,                0.84343,                0.91773,                0.64567,                 1.1136,                 1.1281,                 1.5743,              0.0011554,              0.0011554,              0.0011554
                     33,                 0.7259,                0.67893,                 1.1338,                 0.8618,                0.89899,                0.88266,                0.67667,                0.97576,                 1.0991,                 1.4045,              0.0011389,              0.0011389,              0.0011389
                     34,                0.76179,                 0.7161,                 1.1521,                0.87017,                0.95455,                0.90919,                0.64814,                 1.0246,                 1.1329,                  1.429,              0.0011224,              0.0011224,              0.0011224
                     35,                0.74667,                0.69164,                 1.1386,                0.93096,                0.91955,                0.93979,                0.65052,                  1.117,                 1.1045,                 1.5234,              0.0011059,              0.0011059,              0.0011059
                     36,                0.72608,                0.68199,                 1.1454,                0.94322,                0.81566,                0.88114,                 0.6048,                 1.1473,                  1.158,                 1.5417,              0.0010894,              0.0010894,              0.0010894
                     37,                0.73336,                0.72265,                 1.1567,                0.86886,                0.81566,                0.85766,                0.62999,                 1.0652,                 1.1941,                 1.4707,              0.0010729,              0.0010729,              0.0010729
                     38,                0.71617,                0.68724,                 1.1358,                0.89309,                0.78729,                 0.8571,                0.64216,                 1.0522,                 1.1693,                 1.4439,              0.0010564,              0.0010564,              0.0010564
                     39,                0.69618,                0.65674,                 1.0854,                0.80507,                0.89899,                0.85308,                0.61334,                 1.1355,                  1.127,                  1.499,              0.0010399,              0.0010399,              0.0010399
                     40,                0.70938,                0.69175,                 1.1475,                0.88481,                0.89899,                0.87552,                0.65609,                0.96659,                 1.0232,                 1.4023,              0.0010234,              0.0010234,              0.0010234
                     41,                0.72372,                0.66595,                 1.1044,                 0.7659,                0.78788,                0.76577,                0.58292,                 1.1519,                 1.1169,                 1.5649,              0.0010069,              0.0010069,              0.0010069
                     42,                0.70681,                0.65809,                 1.1374,                0.62519,                0.81566,                0.66564,                0.54708,                 1.0341,                 1.4706,                 1.4618,             0.00099036,             0.00099036,             0.00099036
                     43,                0.65914,                0.62411,                 1.1367,                0.74585,                0.62121,                0.65325,                0.54947,                 1.1209,                 1.4242,                  1.542,             0.00097386,             0.00097386,             0.00097386
                     44,                0.68501,                0.65792,                 1.1081,                0.87911,                0.73232,                0.73118,                0.56846,                 1.1889,                 1.1947,                 1.6459,             0.00095736,             0.00095736,             0.00095736
                     45,                0.68566,                0.65643,                 1.1484,                0.89401,                0.75805,                0.76973,                0.57661,                 1.1675,                 1.1352,                 1.5854,             0.00094085,             0.00094085,             0.00094085
                     46,                0.66607,                0.64248,                 1.1225,                0.76284,                 0.7601,                0.79913,                0.58456,                 1.1847,                 1.1421,                  1.548,             0.00092435,             0.00092435,             0.00092435
                     47,                0.71275,                0.66188,                 1.1454,                0.72158,                0.79476,                0.77758,                0.59724,                 1.1716,                  1.213,                   1.51,             0.00090785,             0.00090785,             0.00090785
                     48,                0.56876,                0.58935,                 1.0714,                 0.8019,                 0.7868,                0.79866,                0.58376,                 1.1176,                 1.1216,                  1.545,             0.00089134,             0.00089134,             0.00089134
                     49,                0.67751,                0.64783,                 1.1234,                0.90528,                0.78788,                0.86376,                   0.59,                 1.1337,                 1.1424,                  1.562,             0.00087484,             0.00087484,             0.00087484
                     50,                0.64257,                 0.6057,                 1.0934,                 0.8423,                 0.8904,                0.88356,                0.62304,                 1.1494,                 1.0257,                 1.6279,             0.00085834,             0.00085834,             0.00085834
                     51,                 0.6672,                0.62273,                  1.121,                0.87325,                0.89803,                0.89313,                0.64043,                  1.107,                0.90326,                 1.5477,             0.00084184,             0.00084184,             0.00084184
                     52,                0.66025,                0.56681,                 1.0756,                0.82821,                0.88165,                0.85146,                0.63193,                 1.0743,                0.96505,                 1.5217,             0.00082533,             0.00082533,             0.00082533
                     53,                0.59393,                0.53947,                 1.0319,                0.85296,                0.92677,                 0.8816,                0.59623,                 1.1166,                 1.0441,                 1.5708,             0.00080883,             0.00080883,             0.00080883
                     54,                0.62495,                0.58693,                 1.0691,                0.82752,                0.89899,                0.88939,                0.58344,                 1.1882,                 1.0647,                 1.6826,             0.00079233,             0.00079233,             0.00079233
                     55,                0.60756,                0.57451,                 1.0637,                0.82291,                0.89899,                0.89058,                0.61614,                 1.0629,                 1.0211,                 1.5077,             0.00077582,             0.00077582,             0.00077582
                     56,                0.59954,                0.58171,                 1.0694,                  0.834,                0.86166,                0.86093,                0.63815,                0.99746,                0.97382,                 1.4294,             0.00075932,             0.00075932,             0.00075932
                     57,                0.64117,                0.57478,                 1.1126,                0.86579,                0.81566,                0.85262,                0.61894,                 1.1605,                 1.0008,                 1.6103,             0.00074282,             0.00074282,             0.00074282
                     58,                0.55426,                0.51633,                 1.0537,                0.88945,                0.84343,                0.86552,                0.63245,                 1.1566,                0.91321,                 1.6149,             0.00072631,             0.00072631,             0.00072631
                     59,                0.52422,                0.51183,                 1.0207,                0.82268,                0.84343,                0.84044,                0.60207,                 1.1638,                 1.0517,                 1.6328,             0.00070981,             0.00070981,             0.00070981
                     60,                0.53676,                0.50753,                 1.0298,                0.93942,                0.75526,                 0.8397,                0.59535,                 1.1766,                 1.0405,                 1.7104,             0.00069331,             0.00069331,             0.00069331
                     61,                0.60365,                0.54951,                  1.058,                0.96718,                 0.7601,                0.83359,                0.59871,                 1.0699,                0.99757,                 1.5974,              0.0006768,              0.0006768,              0.0006768
                     62,                0.55603,                 0.5125,                 1.0227,                0.85066,                0.75683,                0.78308,                0.57413,                 1.0889,                 1.0747,                  1.617,              0.0006603,              0.0006603,              0.0006603
                     63,                 0.5534,                0.51121,                 1.0452,                0.81894,                 0.7601,                0.81049,                 0.5672,                 1.1947,                 1.0721,                 1.6849,              0.0006438,              0.0006438,              0.0006438
                     64,                0.52474,                 0.4865,                0.99775,                0.81514,                0.84343,                0.81088,                0.57893,                  1.241,                  1.028,                 1.7045,             0.00062729,             0.00062729,             0.00062729
                     65,                0.54763,                0.51141,                 1.0126,                0.76581,                 0.7601,                0.81591,                0.55218,                 1.1944,                0.97766,                  1.645,             0.00061079,             0.00061079,             0.00061079
                     66,                0.55957,                0.49363,                 1.0558,                0.76674,                0.78788,                0.82572,                0.57103,                 1.2193,                0.97148,                 1.6778,             0.00059429,             0.00059429,             0.00059429
                     67,                0.51241,                0.48092,                 1.0215,                0.78877,                0.84343,                0.83143,                0.60071,                 1.2042,                0.91492,                 1.6676,             0.00057778,             0.00057778,             0.00057778
                     68,                0.49059,                0.47167,                  1.001,                0.96999,                0.78788,                0.89524,                0.63659,                 1.1091,                 0.9334,                 1.5771,             0.00056128,             0.00056128,             0.00056128
                     69,                0.49753,                0.46533,                 1.0105,                0.98372,                0.80524,                0.89365,                0.64551,                 1.0595,                 0.9573,                  1.531,             0.00054478,             0.00054478,             0.00054478
                     70,                 0.5387,                0.47168,                 1.0269,                0.94342,                0.81566,                0.86778,                0.60606,                 1.1657,                0.94265,                 1.6685,             0.00052827,             0.00052827,             0.00052827
                     71,                0.52287,                0.46918,                 1.0157,                0.93889,                0.81336,                0.85709,                0.57685,                 1.2576,                0.99472,                 1.7899,             0.00051177,             0.00051177,             0.00051177
                     72,                0.53798,                0.48828,                 1.0296,                0.87528,                0.83569,                0.85221,                0.59219,                 1.1972,                0.92476,                 1.7396,             0.00049527,             0.00049527,             0.00049527
                     73,                0.48276,                0.43716,                 1.0014,                0.86899,                0.84343,                 0.8495,                0.61615,                 1.1923,                0.89179,                 1.7617,             0.00047876,             0.00047876,             0.00047876
                     74,                0.50569,                 0.4641,                0.99622,                0.83067,                0.84343,                0.83589,                0.60252,                 1.2233,                0.91999,                 1.7823,             0.00046226,             0.00046226,             0.00046226
                     75,                0.47601,                0.44736,                0.97822,                0.77372,                0.84343,                 0.8198,                0.57732,                 1.2229,                 1.0087,                 1.7463,             0.00044576,             0.00044576,             0.00044576
                     76,                0.52748,                 0.4499,                 1.0332,                0.88656,                0.81017,                0.82081,                 0.5912,                 1.1781,                 1.0336,                 1.7059,             0.00042925,             0.00042925,             0.00042925
                     77,                0.46977,                 0.4428,                0.98707,                0.81965,                0.83907,                0.82693,                0.58132,                 1.2432,                0.96726,                 1.8444,             0.00041275,             0.00041275,             0.00041275
                     78,                0.43165,                0.40228,                0.98449,                 0.8629,                0.84343,                0.88054,                0.60372,                 1.2156,                0.98092,                 1.8291,             0.00039625,             0.00039625,             0.00039625
                     79,                0.47104,                0.43285,                0.99406,                0.83052,                0.87121,                0.87917,                0.58081,                 1.2121,                0.99831,                 1.8249,             0.00037974,             0.00037974,             0.00037974
                     80,                0.47836,                0.42723,                0.99286,                0.84906,                0.87616,                0.88155,                0.59155,                 1.2176,                 1.0113,                 1.8062,             0.00036324,             0.00036324,             0.00036324
                     81,                0.41884,                0.43221,                0.97532,                0.84749,                0.84343,                0.87945,                0.57869,                 1.2673,                0.94132,                 1.8194,             0.00034674,             0.00034674,             0.00034674
                     82,                0.45238,                0.39948,                0.97127,                0.85138,                0.81566,                  0.844,                0.58538,                 1.2438,                0.96795,                 1.7909,             0.00033023,             0.00033023,             0.00033023
                     83,                0.49411,                0.43333,                0.99809,                  0.784,                0.78788,                0.80229,                0.58315,                 1.2412,                0.95552,                 1.8108,             0.00031373,             0.00031373,             0.00031373
                     84,                0.45896,                0.40157,                0.96685,                0.78319,                0.86429,                0.85516,                0.59822,                 1.2182,                0.99653,                  1.757,             0.00029723,             0.00029723,             0.00029723
                     85,                0.45479,                0.39247,                  1.001,                0.85202,                0.84343,                0.87801,                0.61701,                 1.1835,                0.92041,                 1.7077,             0.00028072,             0.00028072,             0.00028072
                     86,                0.42901,                0.38055,                0.96552,                0.83897,                0.87121,                0.89464,                 0.6212,                 1.2203,                0.89143,                 1.7661,             0.00026422,             0.00026422,             0.00026422
                     87,                0.45572,                0.40341,                0.97238,                0.87311,                0.81566,                0.87587,                 0.6284,                 1.2413,                0.87418,                 1.8169,             0.00024772,             0.00024772,             0.00024772
                     88,                0.46055,                0.41241,                0.97707,                0.84315,                0.87121,                0.88028,                0.62356,                 1.2572,                0.86374,                 1.8642,             0.00023121,             0.00023121,             0.00023121
                     89,                0.45452,                0.41544,                 0.9824,                0.80535,                0.92677,                0.87408,                0.62665,                 1.2299,                0.89948,                 1.8277,             0.00021471,             0.00021471,             0.00021471
                     90,                0.44605,                0.40656,                0.99226,                0.82092,                0.89899,                0.87428,                0.62522,                 1.1996,                0.89791,                 1.7653,             0.00019821,             0.00019821,             0.00019821
                     91,                0.33251,                0.38884,                0.93507,                0.84106,                0.87121,                0.88114,                 0.6336,                 1.1571,                0.93605,                 1.6574,              0.0001817,              0.0001817,              0.0001817
                     92,                0.31021,                0.35385,                0.91858,                0.85551,                0.84343,                0.89333,                0.62456,                 1.2009,                0.88922,                 1.6914,              0.0001652,              0.0001652,              0.0001652
                     93,                0.30299,                0.35667,                0.93782,                0.93684,                0.79895,                0.90377,                0.61492,                 1.1892,                0.90087,                 1.6759,              0.0001487,              0.0001487,              0.0001487
                     94,                0.29638,                0.34624,                0.90938,                0.87881,                0.81566,                0.90988,                0.61197,                 1.1987,                0.90942,                 1.6786,             0.00013219,             0.00013219,             0.00013219
                     95,                 0.2857,                0.34152,                0.91585,                0.88449,                0.85959,                0.90922,                0.62204,                 1.1512,                0.94029,                 1.6452,             0.00011569,             0.00011569,             0.00011569
                     96,                0.28226,                0.31514,                0.89307,                0.92376,                0.84343,                0.91117,                0.62296,                 1.1172,                0.89207,                 1.6099,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.27519,                0.30265,                0.89486,                0.93817,                0.84343,                0.89864,                 0.6205,                 1.1233,                0.88462,                 1.6199,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.26587,                0.30242,                0.90566,                0.94922,                0.83956,                0.89512,                0.61834,                 1.1083,                0.90291,                 1.6117,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.27165,                0.29809,                0.89044,                0.94314,                0.84343,                0.89456,                0.63094,                 1.1276,                0.88811,                 1.6302,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.26819,                0.30309,                0.90326,                0.94649,                 0.8082,                0.89017,                 0.6285,                 1.1377,                0.87964,                 1.6407,             3.3173e-05,             3.3173e-05,             3.3173e-05
